Time,Track ID,Type,x [m],y [m],Speed [km/h],Tan. Acc. [ms-2],Lat. Acc. [ms-2]
0.2002,1,1,746817.05,3150505.53,22.8997,0.239,0.0711
0.2002,22,1,746773.03,3150516.65,16.7668,-0.127,-0.1999
0.2002,24,3,746863.12,3150513.87,30.4847,-0.0188,-0.3955
0.2002,20,8,746850.39,3150496.02,7.5564,0.1738,0.0125
0.2002,42,3,746810.61,3150497.85,0.014,-0.0531,-0.0352
0.400401,6,1,746814.6,3150573.62,19.8326,0.119,1.0873
0.400401,16,1,746766.7,3150532.31,0.131,-0.0054,-0.0106
0.400401,32,2,746852.39,3150490.22,9.4774,-1.1022,0.0722
0.400401,25,3,746861.31,3150513.61,34.7888,0.3442,-0.9278
0.400401,12,1,746777.67,3150550.78,22.947,0.1891,1.0203
0.400401,14,1,746806.18,3150578.01,22.2021,-0.2528,0.2745
0.400401,10,1,746802.77,3150572.7,18.6035,-0.9519,0.389
0.400401,30,3,746774.04,3150545.43,18.5831,0.1825,0.1438
0.400401,31,3,746858.03,3150519.19,30.1229,0.777,-1.0
0.400401,42,3,746810.61,3150497.85,0.0124,-0.005,0.0198
0.400401,44,1,746849.56,3150576.77,7.4133,-0.1591,-0.4095
0.400401,7,1,746769.85,3150524.96,17.4324,0.4906,0.1112
0.400401,36,4,746757.27,3150567.64,34.2131,0.6064,-0.9388
0.400401,24,3,746864.31,3150512.66,30.5006,0.0563,-0.5675
0.400401,23,3,746765.3,3150538.98,0.0142,0.0018,-0.0981
0.400401,9,1,746795.29,3150576.36,16.3835,0.3227,-0.0306
0.400401,1,1,746815.8,3150505.73,23.138,0.4553,0.0745
0.400401,8,1,746766.68,3150590.81,11.3441,0.1698,-0.1297
0.400401,4,4,746786.58,3150518.45,19.4614,0.0122,0.5965
0.400401,19,8,746779.62,3150526.98,19.3816,0.0674,0.6938
0.400401,27,3,746796.28,3150581.04,23.9636,-0.0978,-0.2084
0.400401,13,1,746847.41,3150566.26,14.5926,0.0899,-0.227
0.400401,17,1,746840.65,3150536.04,22.0746,0.5198,1.1769
0.400401,39,3,746771.99,3150540.74,30.2425,1.2547,-0.4642
0.400401,20,8,746850.04,3150496.24,7.7941,0.4927,-0.0399
0.400401,22,1,746773.17,3150517.57,16.6481,-0.2027,-0.3382
0.400401,41,3,746840.58,3150525.94,27.0787,-0.0589,0.764
0.400401,2,2,746812.05,3150578.09,20.0886,0.0496,0.4418
0.400401,35,1,746767.79,3150543.99,27.9162,0.6003,-0.896
0.400401,21,3,746854.44,3150529.91,25.8319,0.5379,-1.0556
0.400401,37,2,746845.86,3150542.46,25.8644,0.0506,0.2209
0.400401,38,3,746854.63,3150522.16,24.9104,0.4115,-0.5028
0.400401,34,3,746817.67,3150511.35,24.0131,-0.0403,1.445
0.400401,29,3,746799.22,3150506.82,20.6745,0.0982,0.5877
0.400401,26,4,746837.68,3150504.57,14.8921,-0.0284,-0.2527
0.400401,40,3,746838.46,3150526.27,24.4648,-0.4238,1.0927
0.400401,18,1,746773.7,3150586.05,15.6039,0.9571,-0.2429
0.400401,11,1,746751.56,3150574.83,38.537,0.8754,-0.1442
0.400401,15,1,746824.41,3150571.17,25.1028,-0.5578,0.9735
0.400401,5,1,746787.56,3150580.64,20.2707,-0.2017,-0.4093
0.400401,28,3,746843.54,3150495.85,19.6385,1.3273,0.047
0.400401,43,1,746766.78,3150498.95,4.8548,0.4843,-0.0628
0.400401,33,1,746828.33,3150501.81,21.4086,0.6618,-0.4827
0.400401,3,1,746857.43,3150488.7,11.5977,-1.4012,0.1324
0.600601,30,3,746774.31,3150546.43,18.6171,0.1191,0.1339
0.600601,29,3,746798.13,3150507.18,20.6792,0.071,0.5527
0.600601,33,1,746827.17,3150501.94,21.4775,0.4575,-0.4297
0.600601,21,3,746855.02,3150528.61,25.884,0.3179,-0.9542
0.600601,9,1,746796.18,3150576.24,16.4699,0.2948,0.007
0.600601,3,1,746856.85,3150489.07,11.3877,-1.0184,0.1069
0.600601,32,2,746851.94,3150490.56,9.3084,-0.7989,0.0544
0.600601,15,1,746825.61,3150570.43,25.034,-0.3967,0.8993
0.600601,7,1,746769.8,3150525.91,17.4883,0.2992,0.0916
0.600601,39,3,746771.57,3150542.34,30.3884,0.7697,-0.4505
0.600601,5,1,746788.65,3150580.31,20.2597,-0.1437,-0.3637
0.600601,23,3,746765.3,3150538.98,0.0122,-0.0039,-0.0595
0.600601,8,1,746767.19,3150590.44,11.3302,0.012,-0.1034
0.600601,27,3,746797.59,3150580.78,23.9575,-0.124,-0.1952
0.600601,4,4,746785.89,3150519.29,19.4677,0.033,0.5351
0.600601,38,3,746855.5,3150521.09,24.9405,0.1925,-0.4626
0.600601,28,3,746842.57,3150496.26,19.8081,0.9216,0.0293
0.600601,22,1,746773.31,3150518.49,16.6439,-0.1104,-0.2679
0.600601,19,8,746779.2,3150527.97,19.3879,0.0353,0.5879
